id,content,type
185,Nigah Ko Door Tak Bhej Kar Hum Dil Ke Pas Laut Aaye / Wahan Sitare Kam The Lekin Chain Bahut Zyada Tha,llama
186,Jahan Ki Daud Dekh Kar Dil Ne Aahista Se Bas Kaha / Thoda Kam Jeetna Bhi Shayed Zyada Jeene Jaisa Hai,llama
187,"Faqr Mein Bhi Ek Narmi Ho To Baat Kahan Se Kahan Jaye / Sakhti Se Sirf Dhoop Mile, Chhaon Se Dil Khilta Hai",llama
188,Amal Ki Rah Mein Hum Ko Kai Bar Mod Aisa Mila / Jahan Rukna Hi Jeet Tha Aur Chalna Bilkul Lazim Na Tha,llama
189,Khudi Agar Hai To Us Ko Bhi Hansi Aani Chahiye / Har Waqt Garam Rehne Se To Aadmi Patthar Ho Jata Hai,llama
190,"Sitaron Ka Khayal Achha, Magar Yeh Bhi Ghalat Kya Hai / Ke Sham Ko Ghar Lautte Waqt Koi Ped Yaad Aaye",llama
191,"Safar Ka Zor Apni Jagah, Magar Thoda Sukoon Bhi Rakh / Musafir Wohi Hoshyar Jo Rah Mein Saans Le Sake",llama
192,Nigah Aur Dil Ki Banti Ho To Baat Banti Hai / Sirf Aankh Upar Ho To Pair Rah Bhool Jate Hain,llama
193,Khudi Se Hum Ne Yeh Seekha Ke Apna Rang Na Kho Baith / Magar Dil Ne Yeh Samjhaya Ke Narmi Bhi Zaroori Hai,llama
194,Amal Ka Dhoom Se Karna Har Kaam Ka Tariqa Nahin / Kabhi Halki Chaal Se Bhi Doori Tay Ho Jati Hai,llama
195,Parwaz Ki Dhun Mein Aksar Log Zameen Bhool Jate Hain / Hamein Hari Jagah Dekh Kar Apna Waqt Yaad Aata Hai,llama
196,Faqr Agar Dil Ko Halka Kar De To Baat Khoob Hai Dost / Agar Hansi Hi Cheen Le To Phir Aisa Faqr Kaisa,llama
197,Nigah Mein Noor Ho Lekin Dil Mein Saya Bhi Rehne De / Har Roshan Baat Ka Aakhir Koi Aaram Bhi Hota Hai,llama
198,"Khudi Ka Naam Liya To Dil Ne Pyar Se Itna Hi Kaha / Thoda Kam Farman Chala, Thoda Khud Ko Sunta Chal",llama
199,"Jahan Mein Ahd-e-Amal Theek, Magar Itni Bhi Jaldi Kya / Ke Jo Phool Rah Mein Khile The Un Par Nazar Hi Na Gayi",llama
200,Sitaron Tak Ki Rahon Mein Jo Dil Bahut Aage Nikal Gaya / Use Kabhi Kabhi Mud Kar Ghaas Ki Narmi Dekhni Chahiye,llama
201,"Safar Se Dosti Hum Ko, Magar Ghar Se Mohabbat Bhi / Musafir Wohi Sacha Hai Jo Laut Kar Bhi Muskaye",llama
202,"Nigah Ne Jis Ko Koh Kaha, Dil Ne Use Bas Rah Kaha / Aur Rah Mein Jo Saya Mila, Wahi Sab Se Bada Inaam Tha",llama
203,Amal Ke Sath Agar Thodi Shararat Aa Jaye To Kya Gham / Har Kaam Ko Bohat Sanjeeda Karna Bhi To Zaroori Nahin,llama
204,Khudi Ka Raz Shayad Yeh Nahin Ke Har Dam Aag Ban Jao / Kabhi Mitti Sa Thanda Reh Kar Bhi Aadmi Pur-Noor Rehta Hai,llama
205,"Faqr Mein Hum Ne Chain Talash Kiya, Mil Gaya Dheere Se / Ek Purani Chadar, Ek Hawa, Aur Dil Ka Halka Ho Jana",llama
206,Parwaz Ka Zikr Sun Kar Bhi Hum Ne Rah Ko Chuma Tha / Hamein Bulandi Se Zyada Kabhi Safar Pyara Lagta Hai,llama
207,Jahan Ka Bojh Uthane Se Pehle Itna Soch Liya Kar / Kya Apne Dil Ke Kamre Mein Thodi Jagah Bachi Bhi Hai,llama
208,Nigah Agar Sitara Mange To Dil Ko Gul Bhi Manga De / Wahi Aadmi Poora Hai Jo Dono Hath Khali Na Rakhe,llama
209,Amal Ka Shor Kam Kiya To Kaam Aur Behtar Ho Baitha / Kuchh Batein Dheemi Chaal Mein Zyada Dur Nikalti Hain,llama
210,Khudi Ki Raah Mein Aksar Hum Apna Dil Bhula Baithe / Phir Ek Ped Ki Chhaon Ne Sabak Naya Suna Dala,llama
211,"Safar Ka Husn Manzil Se Kayi Bar Kam Nahin Hota / Jo Rah Mein Thehar Kar Dekhe, Us Par Baat Khul Jati Hai",llama
212,"Sitaron Se Hamein Nisbat, Magar Sabza Se Bhi Ulfat / Hum Aise Dil Ko Kya Kahen Jo Dono Taraf Chala Jaye",llama
213,Nigah-e-Shauq Agar Tez Ho To Dil Ko Narm Rakho Tum / Tez Dhoop Mein Narm Hawa Ka Sath Bahut Kaam Aata Hai,llama
214,"Faqr Ka Maqsad Agar Bas Dil Ko Azad Karna Hai / To Phir Thoda Hansa Kar Ji, Thoda Halka Ho Kar Chal",llama
215,"Khudi Ko Har Ghadi Maidan Mein Lalkarna Kya Zaroori / Kabhi Use Chup Rahne Do, Kabhi Use Sonay Do",llama
216,"Amal Ki Raat Lambi Thi, Magar Subh Aaram Se Aayi / Jo Jaldi Jaldi Jalte The, Woh Thak Kar So Gaye Aakhir",llama
217,"Parwaz Ka Junoon Achha, Magar Is Dil Ka Kya Kijye / Use Har Unchi Baat Ke Sath Thoda Neecha Saya Chahiye",llama
218,"Safar Mein Ek Ajab Baat Thi, Jitna Chale Utna Samjhe / Kayi Manzilen Bas Us Lamhe Mein Thin Jab Hum Ruke Thode",llama
219,"Jahan Ko Badalna Mushkil Tha, Hum Ne Mizaj Badal Dala / Ab Dhoop Bhi Khaas Na Rahi, Saya Bhi Zyada Pyara Tha",llama
220,Nigah Ka Noor Tab Utra Jab Dil Thoda Naram Hua / Sakht Aankhon Se Aksar Rah Ka Husn Chhup Jata Hai,llama
221,"Khudi Ka Dars Bahut Ooncha, Magar Hum Chhote Log Thahre / Hamein To Roz Ki Rah Mein Thoda Chain Bhi Chahiye Tha",llama
222,"Amal Ko Hum Ne Pooja Nahin, Bas Dost Bana Kar Rakha / Jitna Saath Chala Achha, Jahan Thaka Wahan Ruk Gaya",llama
223,Faqr Agar Muskura De To Roti Bhi Dawat Lagti Hai / Aur Sakhti Se Bhar Jaye To Dastarkhwan Bhi Soona Hai,llama
224,"Sitaron Ka Safar Baad Mein, Pehle Dil Ko Raah Mile / Jo Apna Aangan Kho Baithe Woh Aasman Kya Jeetenge",llama
225,"Safar Ka Zakhm Bhi Dekha, Safar Ka Lutf Bhi Dekha / Magar Sab Se Meetha Waqt Woh Tha Jab Dhoop Halki Thi",llama
226,Nigah Ko Hum Ne Sikhaya Ke Har Cheez Mein Jung Na Dekh / Kabhi Kisi Patte Par Bhi Reham Ka Rang Sajta Hai,llama
227,"Khudi Se Bas Itni Darkhwast, Zara Kam Hukum Chalaya Kar / Dil Apna Kaam Karega Agar Tu Narmi Se Bolegi",llama
228,"Amal Mein Garmahat Rakhna, Magar Jaldi Jaldi Nahin / Dheemi Aanch Pe Pakti Cheez Ka Zaiqa Aur Hota Hai",llama
229,"Parwaz Agar Naseeb Hui To Theek, Na Hui To Gham Kaisa / Kayi Dafa Khula Maidan Bhi Dil Ko Shahin Bana Deta Hai",llama
230,"Faqr Ka Sada Libas Tha, Dil Ka Mizaj Haseen Raha / Kam Cheezon Mein Bhi Hum Ne Kaisa Aaram Pa Liya",llama
231,"Nigah Mein Khwab Aur Dil Mein Chhaon, Yeh Jam Bada Khushrang / Isi Tarah To Rah Guzar Bhi Mehfil Jaisi Lagti Hai",llama
232,"Khudi Ka Rang Yaqeenan Khoob, Magar Thoda Halka Bhi / Har Waqt Sang-e-Koh Na Ban, Kabhi Mitti Sa Mulayam Ho",llama
233,"Safar Mein Sab Se Sacha Dost Aksar Koi Insan Na Tha / Koi Ped, Koi Hawa, Koi Khamosh Si Hari Jagah Thi",llama
234,Sitaron Wali Baat Sun Kar Bhi Dil Ne Aaj Yeh Keh Dala / Jo Choti Khushi Na Samjhe Woh Bari Baat Kya Samjhega,llama
235,"Amal Ka Zor Tha Hum Par, Magar Dil Mein Yeh Dhoon Bhi Thi / Koi Pur-Saya Din Aaye To Kuchh Lamhe Bas Ji Lein",llama
236,"Faqr Mein Hum Ne Dekha Hai, Zaroorat Kam To Gham Kam / Aur Jab Gham Thoda Kam Ho To Dil Khud Noor Ban Jata Hai",llama
237,"Nigah Ne Rah Dikhayi Thi, Dil Ne Raftar Chuni Aakhir / Har Jeet Tez Nahin Hoti, Kuchh Jeet Dheemi Bhi Hoti Hai",llama
238,Khudi Ka Naam Sun Kar Jo Dil Zara Sa Hans De Pyar Se / Samajh Lo Us Mein Zindagi Abhi Narm Aur Zinda Hai,llama
239,Parwaz Se Pehle Aadmi Ko Saans Ka Fan Bhi Aana Chahiye / Jo Rah Mein Saans Na Le Sake Woh Aasman Kya Dekhega,llama
240,"Safar Se Hum Ko Ishq Sahi, Magar Itna Bhi Kya Yaro / Ke Ghar Ki Shaam Bhool Baithein Aur Ped Ki Chhaon Bhi",llama
